"from","to"
"cel01100","Metabolic pathways"
"cel01200","Carbon metabolism"
"cel01210","2-Oxocarboxylic acid metabolism"
"cel01212","Fatty acid metabolism"
"cel01230","Biosynthesis of amino acids"
"cel01232","Nucleotide metabolism"
"cel01250","Biosynthesis of nucleotide sugars"
"cel01240","Biosynthesis of cofactors"
"cel01320","Sulfur cycle"
"cel00010","Glycolysis / Gluconeogenesis"
"cel00020","Citrate cycle (TCA cycle)"
"cel00030","Pentose phosphate pathway"
"cel00040","Pentose and glucuronate interconversions"
"cel00051","Fructose and mannose metabolism"
"cel00052","Galactose metabolism"
"cel00053","Ascorbate and aldarate metabolism"
"cel00500","Starch and sucrose metabolism"
"cel00620","Pyruvate metabolism"
"cel00630","Glyoxylate and dicarboxylate metabolism"
"cel00640","Propanoate metabolism"
"cel00650","Butanoate metabolism"
"cel00562","Inositol phosphate metabolism"
"cel00190","Oxidative phosphorylation"
"cel00910","Nitrogen metabolism"
"cel00920","Sulfur metabolism"
"cel00061","Fatty acid biosynthesis"
"cel00062","Fatty acid elongation"
"cel00071","Fatty acid degradation"
"cel00100","Steroid biosynthesis"
"cel00561","Glycerolipid metabolism"
"cel00564","Glycerophospholipid metabolism"
"cel00565","Ether lipid metabolism"
"cel00600","Sphingolipid metabolism"
"cel00590","Arachidonic acid metabolism"
"cel00592","alpha-Linolenic acid metabolism"
"cel01040","Biosynthesis of unsaturated fatty acids"
"cel00230","Purine metabolism"
"cel00240","Pyrimidine metabolism"
"cel00250","Alanine, aspartate and glutamate metabolism"
"cel00260","Glycine, serine and threonine metabolism"
"cel00270","Cysteine and methionine metabolism"
"cel00280","Valine, leucine and isoleucine degradation"
"cel00290","Valine, leucine and isoleucine biosynthesis"
"cel00310","Lysine degradation"
"cel00220","Arginine biosynthesis"
"cel00330","Arginine and proline metabolism"
"cel00340","Histidine metabolism"
"cel00350","Tyrosine metabolism"
"cel00360","Phenylalanine metabolism"
"cel00380","Tryptophan metabolism"
"cel00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"cel00410","beta-Alanine metabolism"
"cel00430","Taurine and hypotaurine metabolism"
"cel00440","Phosphonate and phosphinate metabolism"
"cel00450","Selenocompound metabolism"
"cel00470","D-Amino acid metabolism"
"cel00480","Glutathione metabolism"
"cel00520","Amino sugar and nucleotide sugar metabolism"
"cel00541","Biosynthesis of various nucleotide sugars"
"cel00510","N-Glycan biosynthesis"
"cel00513","Various types of N-glycan biosynthesis"
"cel00512","Mucin type O-glycan biosynthesis"
"cel00515","Mannose type O-glycan biosynthesis"
"cel00514","Other types of O-glycan biosynthesis"
"cel00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"cel00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"cel00533","Glycosaminoglycan biosynthesis - keratan sulfate"
"cel00531","Glycosaminoglycan degradation"
"cel00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"cel00601","Glycosphingolipid biosynthesis - lacto and neolacto series"
"cel00603","Glycosphingolipid biosynthesis - globo and isoglobo series"
"cel00604","Glycosphingolipid biosynthesis - ganglio series"
"cel00511","Other glycan degradation"
"cel00730","Thiamine metabolism"
"cel00740","Riboflavin metabolism"
"cel00750","Vitamin B6 metabolism"
"cel00760","Nicotinate and nicotinamide metabolism"
"cel00770","Pantothenate and CoA biosynthesis"
"cel00780","Biotin metabolism"
"cel00785","Lipoic acid metabolism"
"cel00790","Folate biosynthesis"
"cel00670","One carbon pool by folate"
"cel00830","Retinol metabolism"
"cel00860","Porphyrin metabolism"
"cel00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"cel00900","Terpenoid backbone biosynthesis"
"cel00232","Caffeine metabolism"
"cel00980","Metabolism of xenobiotics by cytochrome P450"
"cel00982","Drug metabolism - cytochrome P450"
"cel00983","Drug metabolism - other enzymes"
"cel03020","RNA polymerase"
"cel03022","Basal transcription factors"
"cel03040","Spliceosome"
"cel03010","Ribosome"
"cel00970","Aminoacyl-tRNA biosynthesis"
"cel03013","Nucleocytoplasmic transport"
"cel03015","mRNA surveillance pathway"
"cel03008","Ribosome biogenesis in eukaryotes"
"cel03060","Protein export"
"cel04141","Protein processing in endoplasmic reticulum"
"cel04130","SNARE interactions in vesicular transport"
"cel04120","Ubiquitin mediated proteolysis"
"cel04122","Sulfur relay system"
"cel03050","Proteasome"
"cel03018","RNA degradation"
"cel03030","DNA replication"
"cel03410","Base excision repair"
"cel03420","Nucleotide excision repair"
"cel03430","Mismatch repair"
"cel03440","Homologous recombination"
"cel03450","Non-homologous end-joining"
"cel03460","Fanconi anemia pathway"
"cel03082","ATP-dependent chromatin remodeling"
"cel03083","Polycomb repressive complex"
"cel03250","Viral life cycle - HIV-1"
"cel03273","Virion - Lassa virus and SFTS virus"
"cel03272","Virion - Hepatitis viruses"
"cel02010","ABC transporters"
"cel04310","Wnt signaling pathway"
"cel04330","Notch signaling pathway"
"cel04350","TGF-beta signaling pathway"
"cel04392","Hippo signaling pathway - multiple species"
"cel04068","FoxO signaling pathway"
"cel04070","Phosphatidylinositol signaling system"
"cel04150","mTOR signaling pathway"
"cel04080","Neuroactive ligand-receptor interaction"
"cel04082","Neuroactive ligand signaling"
"cel04081","Hormone signaling"
"cel04512","ECM-receptor interaction"
"cel04517","IgSF CAM signaling"
"cel04518","Integrin signaling"
"cel04519","Cadherin signaling"
"cel04144","Endocytosis"
"cel04145","Phagosome"
"cel04142","Lysosome biogenesis"
"cel04146","Peroxisome"
"cel04140","Autophagy - animal"
"cel04136","Autophagy - other"
"cel04137","Mitophagy - animal"
"cel04148","Efferocytosis"
"cel04215","Apoptosis - multiple species"
"cel04814","Motor proteins"
"cel04820","Cytoskeleton in muscle cells"
"cel04620","Toll-like receptor signaling pathway"
"cel04977","Vitamin digestion and absorption"
"cel04981","Folate transport and metabolism"
"cel04980","Cobalamin transport and metabolism"
"cel04361","Axon regeneration"
"cel04382","Cornified envelope formation"
"cel04212","Longevity regulating pathway - worm"
"cel04213","Longevity regulating pathway - multiple species"
"cel05100","Bacterial invasion of epithelial cells"
